price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
196323,68.0,28,17,90,27,131,61,0,0,143,3074,163,300,5,5,6,3,3,0,13,6,1,1,55,53,47,43,33,14,72,54,68,17,2,9,6,366,230,1,1,7,2,11,7,327,213
122699,32.6,6,1,46,16,21,4,1,1,5,8677,2050,2300,15,23,1,1,0,0,0,0,2,1,39,60,36,60,2,0,7,0,12,3,1,0,0,116,16,1,0,9,4,0,0,50,3
147058,78.2,14,2,60,19,91,18,0,0,153,2728,755,1400,4,5,4,0,4,0,24,0,2,1,54,58,47,52,10,0,75,23,25,5,2,3,0,239,63,0,0,1,0,4,1,72,13
285571,70.0,4,2,23,5,12,5,0,0,237,4713,420,2800,7,10,4,0,0,0,0,0,2,0,56,67,55,60,4,2,9,3,29,15,2,1,1,73,12,0,0,12,0,0,0,35,17
80455,52.7,2,0,100,17,29,3,0,0,154,4600,682,2200,2,4,4,0,1,0,5,0,2,0,53,51,45,50,7,1,23,3,21,3,2,2,0,122,11,0,0,12,2,2,0,90,9
111649,39.4,6,1,46,8,33,5,0,0,176,8805,1116,1000,3,16,0,0,0,0,0,0,1,0,46,35,37,35,3,1,10,0,2,2,1,0,0,158,29,0,0,12,0,0,0,150,1
125382,32.7,32,11,78,26,272,87,1,0,235,1200,417,1200,10,18,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,1,5,1,434,144,3,1,0,0,1,0,167,49
102040,34.3,4,1,44,9,14,5,0,0,275,5468,1980,2600,12,16,1,0,0,0,2,1,1,1,47,47,45,51,2,0,7,0,2,1,1,0,0,61,24,0,0,2,0,1,1,15,6
142682,41.0,3,0,30,6,40,8,0,0,143,6211,953,700,10,19,1,0,3,0,2,1,1,0,50,43,44,40,1,0,37,4,3,2,1,1,0,166,37,1,0,8,5,0,0,147,35
99581,34.8,32,11,78,26,272,87,1,0,235,1200,417,1500,15,17,3,1,2,0,92,47,13,1,57,55,39,43,82,17,255,79,161,68,1,5,1,434,144,3,1,0,0,1,0,167,49
106860,37.9,6,1,46,16,21,4,1,1,5,8677,2050,1400,8,15,1,1,0,0,0,0,2,1,39,60,36,60,2,0,7,0,12,3,1,0,0,116,16,1,0,9,4,0,0,50,3
126865,39.0,2,1,9,0,20,4,0,0,548,5280,1069,1200,14,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,1,0,0,44,6,0,0,0,0,0,0,194,42
143381,62.7,4,2,89,38,19,6,0,0,102,4221,1318,1600,4,10,2,0,1,1,4,1,2,1,34,36,30,34,5,2,23,8,20,4,2,0,0,65,15,0,0,11,6,3,1,146,59
138461,65.0,5,5,38,19,26,21,1,1,107,5560,211,300,2,23,1,1,0,0,2,1,2,2,58,60,46,50,4,4,4,2,1,1,2,1,1,64,44,1,0,2,2,0,0,308,183
105074,80.8,14,9,77,28,120,37,0,0,45,2776,174,400,2,5,4,3,7,3,10,5,2,0,53,45,43,32,25,3,50,29,41,3,2,3,2,250,106,1,1,10,4,1,0,90,44
119565,64.4,5,1,42,22,16,4,0,0,140,5121,1934,1900,10,16,1,0,1,0,2,1,1,1,47,54,45,51,2,0,6,2,2,1,2,0,0,51,14,0,0,2,0,1,1,24,8
114739,58.6,16,8,35,11,52,10,0,0,181,5408,2269,1600,6,9,6,1,1,1,3,0,1,0,51,45,41,40,5,1,19,3,9,2,2,0,0,158,35,1,1,9,0,1,0,184,24
159090,44.0,18,5,83,20,154,39,2,0,104,2618,333,800,3,6,5,2,6,2,16,5,2,0,59,44,44,32,29,5,59,26,53,12,2,4,3,337,87,2,0,11,5,0,0,163,40
169736,38.0,35,1,118,23,193,45,2,0,56,3864,107,600,6,7,4,0,5,0,20,7,7,2,64,47,50,40,34,11,54,6,54,6,2,4,1,550,152,2,0,10,0,1,0,320,20
123750,60.6,10,4,46,9,62,5,2,0,345,3691,436,800,7,10,3,0,2,0,8,3,8,6,53,61,45,50,5,2,51,11,7,1,2,3,1,196,50,2,1,2,0,1,1,158,19
107531,63.9,2,1,9,0,20,4,0,0,548,5280,1069,1200,2,14,0,0,2,0,0,0,2,1,66,83,50,60,3,0,22,5,3,0,2,0,0,44,6,0,0,0,0,0,0,194,42
115102,68.2,1,0,28,6,7,1,0,0,255,7995,1632,1600,6,25,0,0,0,0,0,0,1,0,56,0,44,0,0,0,4,1,3,0,2,0,0,17,5,0,0,13,0,0,0,22,0
