price_per_m,area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500
50000,58.0,1,1,19,6,7,1,0,0,203,6370,435,800,2,5,1,1,1,0,1,0,0,0,35,39,32,35,1,1,0,0,2,1,3,1,1,64,23,1,0,9,5,1,1,43,3
37066,75.0,6,3,11,3,2,0,0,0,172,3857,845,200,5,5,0,0,2,1,1,0,0,0,38,26,33,28,0,0,4,2,2,1,3,1,0,33,20,2,1,0,0,0,0,28,6
41308,58.1,3,3,17,3,8,1,0,0,375,5769,555,400,1,5,0,0,2,1,1,0,2,1,32,35,30,32,1,0,0,0,1,0,3,1,0,58,18,1,1,8,0,0,0,45,21
52007,54.8,8,2,29,6,4,0,2,0,150,967,1400,4000,9,9,0,0,2,0,1,1,2,1,0,0,0,0,1,1,0,0,3,0,3,0,0,28,6,0,0,11,2,0,0,0,0
40000,60.0,1,1,12,7,3,1,0,0,135,2664,753,3400,3,3,0,0,1,1,3,3,0,0,34,30,30,30,0,0,2,0,2,2,3,1,0,26,4,0,0,6,3,0,0,35,1
41525,59.0,4,1,29,12,4,0,1,1,139,3624,384,1400,5,5,1,0,0,0,2,0,0,0,44,43,36,42,0,0,4,0,3,0,3,1,1,31,3,0,0,9,4,0,0,58,4
39552,67.0,4,0,19,4,0,0,0,0,346,2975,919,2400,2,2,0,0,1,0,1,1,0,0,35,32,32,32,0,0,5,0,1,1,3,3,0,28,7,0,0,8,3,0,0,3,1
48245,57.0,3,3,16,3,8,0,0,0,462,5883,489,500,3,5,1,0,2,1,1,0,2,1,32,35,30,35,1,0,0,0,1,0,3,1,1,60,14,1,1,9,0,0,0,46,21
50862,58.0,9,3,34,12,33,8,0,0,123,9475,770,500,3,9,6,3,1,1,2,0,0,0,42,43,40,47,9,1,4,2,18,8,3,1,0,22,6,0,0,13,6,5,3,94,61
47321,56.0,2,1,7,4,1,0,0,0,282,2175,159,1700,3,5,2,0,0,0,0,0,0,0,39,0,36,0,0,0,0,0,0,0,3,1,1,8,1,0,0,6,4,0,0,6,0
43130,62.6,5,2,11,5,1,0,0,0,251,3658,1335,1900,5,5,0,0,0,0,1,0,0,0,31,0,23,0,0,0,2,1,1,0,3,0,0,21,9,0,0,5,3,0,0,5,0
44684,55.5,2,2,12,0,0,0,0,0,505,2592,361,3700,8,9,1,0,0,0,0,0,0,0,35,35,34,34,0,0,1,0,0,0,3,2,1,7,0,0,0,5,0,0,0,6,4
38184,69.4,2,0,12,4,4,2,1,0,333,4176,1107,600,1,4,3,0,0,0,1,1,0,0,32,0,30,0,1,1,2,0,1,0,3,0,0,19,6,1,0,5,2,0,0,23,0
38888,63.0,3,1,21,3,5,0,1,0,430,3325,290,1600,2,2,1,0,0,0,2,0,0,0,36,44,32,40,1,0,0,0,3,0,3,1,1,23,3,0,0,7,3,0,0,56,3
40500,60.0,2,0,18,1,3,0,1,0,492,4271,1111,700,5,5,3,0,0,0,1,1,0,0,34,0,30,0,1,1,1,0,0,0,3,0,0,20,6,2,0,7,0,0,0,19,0
46093,64.0,1,1,11,1,1,0,0,0,415,4884,2234,1600,4,5,0,0,0,0,0,0,0,0,42,43,40,45,0,0,1,0,0,0,3,0,0,2,0,0,0,4,1,0,0,17,6
26666,75.0,0,0,4,2,1,1,0,0,228,6777,1540,1800,3,3,0,0,0,0,0,0,0,0,25,37,24,40,0,0,0,0,0,0,3,0,0,1,1,0,0,4,2,0,0,8,3
44746,67.0,10,4,15,6,1,0,0,0,121,4112,267,200,2,5,0,0,2,2,0,0,1,0,38,48,40,51,1,0,3,2,5,1,3,1,1,28,11,2,1,5,3,0,0,13,4
46875,64.0,5,2,15,4,6,0,0,0,157,969,503,3000,4,5,3,0,1,0,0,0,1,0,26,0,20,0,1,1,2,0,2,0,3,2,0,36,13,0,0,0,0,0,0,6,0
38461,65.0,5,1,21,7,0,0,1,0,305,2867,660,2000,2,2,4,0,1,0,1,1,0,0,34,23,32,23,0,0,7,0,1,0,3,4,0,36,5,0,0,9,1,0,0,5,1
38194,57.6,4,2,18,3,3,2,0,0,175,562,1557,4100,5,5,0,0,1,0,1,0,2,1,28,0,29,0,1,0,0,0,1,1,3,0,0,35,8,0,0,8,1,0,0,5,0
48245,57.0,2,2,12,3,3,0,0,0,170,2261,696,3600,5,9,1,0,0,0,0,0,0,0,32,0,26,0,0,0,2,1,0,0,3,3,0,12,1,0,0,5,3,0,0,11,0
49833,60.0,6,3,14,1,2,1,0,0,140,4410,882,500,5,5,1,0,1,0,0,0,0,0,36,32,40,32,2,0,2,1,6,2,3,1,0,26,8,2,0,5,1,0,0,15,1
53571,56.0,1,1,8,4,1,0,0,0,470,4975,2459,2100,4,5,0,0,0,0,0,0,0,0,45,49,45,50,0,0,0,0,0,0,3,0,0,2,1,0,0,4,0,0,0,11,7
44444,72.0,4,1,16,3,3,0,1,0,149,3984,1377,1500,1,10,2,0,0,0,2,0,0,0,36,65,27,65,0,0,2,0,0,0,2,0,0,27,7,0,0,7,3,0,0,6,1
67209,49.1,1,0,9,3,2,0,0,0,457,4782,204,600,3,9,1,0,1,1,0,0,0,0,28,23,29,23,2,0,0,0,2,0,2,3,1,16,0,1,0,5,2,0,0,18,2
53571,74.2,4,1,20,2,2,0,1,0,374,3186,620,1800,3,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
54582,74.2,4,1,20,2,2,0,1,0,374,3186,620,1800,7,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
84883,43.0,9,3,21,5,27,17,0,0,231,8995,385,1900,6,6,6,1,1,0,2,2,0,0,41,41,40,46,8,4,3,2,16,3,2,1,1,18,4,0,0,10,2,5,3,89,60
73714,70.0,9,3,34,12,33,8,0,0,123,9475,770,1800,13,21,6,3,1,1,2,0,0,0,42,43,40,47,9,1,4,2,18,8,2,1,0,22,6,0,0,13,6,5,3,94,61
71895,45.9,1,0,39,10,15,1,0,0,219,11338,538,4500,3,3,3,0,0,0,2,0,0,0,32,22,25,23,1,0,4,0,8,2,2,3,0,17,3,0,0,12,4,1,0,11,4
68393,66.6,2,0,38,20,22,0,0,0,265,10810,369,4000,14,16,4,0,1,0,2,0,0,0,30,16,25,16,4,0,3,0,6,0,2,3,1,17,3,0,0,14,10,1,0,14,1
59574,94.0,4,1,20,8,5,1,1,0,144,2121,805,3800,15,16,1,0,1,0,3,1,1,0,39,29,31,37,0,0,2,2,6,2,2,1,0,30,5,0,0,7,4,0,0,22,3
49365,70.9,6,2,21,4,4,0,0,0,291,1540,730,4100,3,22,1,0,0,0,0,0,0,0,36,0,30,0,0,0,1,0,0,0,2,3,0,17,6,0,0,5,0,0,0,5,0
78313,58.1,5,1,53,12,15,0,0,0,56,9547,1157,2900,4,8,3,0,3,1,2,0,0,0,38,45,33,42,4,0,6,3,12,3,2,0,0,18,6,0,0,13,3,0,0,60,20
53991,73.9,4,1,20,2,2,0,1,0,374,3186,620,1800,22,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
53244,60.1,4,2,12,4,10,5,0,0,376,4555,360,1400,1,5,4,2,3,1,3,2,4,2,43,45,32,56,3,2,6,1,9,1,2,2,2,42,17,0,0,6,2,0,0,29,3
60000,55.0,0,0,1,0,0,0,0,0,824,4382,3578,7700,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
66042,80.1,3,1,17,3,8,7,0,0,478,4772,604,1100,13,14,5,1,4,1,3,2,4,3,45,48,35,35,3,0,4,2,7,2,2,3,0,40,13,0,0,5,2,0,0,27,19
53518,73.9,4,1,20,2,2,0,1,0,374,3186,620,1800,16,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
75384,65.0,2,0,22,9,4,3,0,0,304,2359,2662,6000,2,10,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,2,0,0,26,6,0,0,5,2,0,0,0,0
77419,62.0,7,1,22,7,9,1,0,0,278,1486,1875,5200,25,27,0,0,1,0,0,0,3,0,32,29,29,29,0,0,1,0,5,0,2,0,0,48,6,0,0,4,2,0,0,10,2
80091,43.7,7,2,17,7,24,7,0,0,200,7742,133,900,5,5,4,0,0,0,1,0,0,0,45,29,32,26,9,5,7,4,7,3,2,4,1,25,10,0,0,5,2,1,1,43,6
53585,73.9,4,1,20,2,2,0,1,0,374,3186,620,1800,24,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
78125,48.0,5,0,27,11,27,5,0,0,61,6762,240,100,7,9,4,1,2,2,1,1,1,0,38,49,30,35,6,1,15,1,12,3,2,3,1,40,9,2,1,8,4,1,0,94,17
82909,55.0,1,0,17,7,9,6,0,0,452,6449,178,500,8,12,3,1,2,2,1,0,0,0,36,41,28,32,3,1,5,2,10,3,2,1,1,19,7,2,1,5,2,0,0,57,9
52021,74.2,4,1,20,2,2,0,1,0,374,3186,620,1800,2,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
61818,55.0,1,1,16,4,4,1,0,0,308,1772,1662,5400,3,9,0,0,1,0,0,0,1,1,26,0,28,0,0,0,1,1,0,0,2,0,0,14,5,0,0,5,1,0,0,4,0
76470,51.0,5,1,16,0,10,6,0,0,582,4861,672,1000,6,9,5,1,5,1,3,2,4,3,44,49,35,37,3,0,4,2,7,3,2,3,0,44,13,0,0,5,0,0,0,27,18
54043,74.2,4,1,20,2,2,0,1,0,374,3186,620,1800,5,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
45070,71.0,2,1,13,7,5,0,0,0,186,6909,1013,1100,8,22,1,0,2,0,1,0,0,0,37,37,33,35,2,0,1,0,1,1,2,0,0,39,7,0,0,11,6,1,0,30,15
165919,111.5,0,0,16,0,8,5,0,0,668,6421,370,700,20,25,3,1,2,1,1,0,0,0,43,36,36,41,2,0,3,1,7,1,3,1,1,17,2,2,0,5,0,0,0,38,6
78571,70.0,4,0,17,0,10,3,0,0,621,5086,563,800,15,16,5,1,4,1,3,3,4,0,43,32,32,24,2,0,5,1,6,0,2,3,0,54,11,1,0,3,0,0,0,28,3
63461,52.0,3,2,25,8,7,2,1,0,21,4433,657,800,5,5,0,0,2,0,3,1,0,0,39,64,31,50,0,0,6,3,0,0,2,1,0,49,10,1,0,5,0,0,0,68,15
54110,74.2,4,1,20,2,2,0,1,0,374,3186,620,1800,6,24,1,0,0,0,1,1,0,0,37,36,35,32,1,1,0,0,5,0,2,1,0,15,3,0,0,6,0,1,0,42,23
116822,107.0,11,5,31,9,39,5,0,0,105,8169,556,1300,8,18,3,2,0,0,2,0,1,0,42,30,36,28,8,1,11,2,7,2,3,5,0,34,5,0,0,11,3,4,0,79,9
60975,82.0,3,1,17,3,8,7,0,0,371,4738,614,1100,10,20,5,1,4,0,4,2,5,4,44,47,35,37,3,0,4,2,6,2,2,2,0,37,15,0,0,6,2,0,0,29,22
136697,109.0,6,3,60,15,17,2,0,0,194,8929,697,2300,5,11,3,0,3,0,2,0,1,0,38,33,33,32,1,1,9,1,11,5,3,2,0,22,12,0,0,12,3,1,0,83,29
41250,80.0,2,0,8,2,2,0,0,0,256,5331,575,900,18,18,0,0,1,0,0,0,0,0,29,35,21,35,2,0,0,0,1,0,2,2,0,22,4,1,0,4,2,0,0,5,1
69548,67.6,2,1,15,7,4,0,0,0,273,3557,838,2200,14,24,0,0,3,1,2,0,1,1,34,29,28,25,2,0,1,0,4,1,2,1,0,11,0,0,0,7,3,1,0,39,7
103450,142.0,4,0,21,3,22,2,0,0,304,6957,358,400,4,7,3,1,2,1,1,1,0,0,44,48,32,37,6,2,9,1,11,3,3,3,1,31,2,1,1,7,0,1,0,52,25
66666,150.0,11,3,36,6,45,9,0,0,159,8356,350,1500,7,8,4,2,0,0,2,0,1,0,42,35,37,32,6,0,12,2,7,1,3,4,1,36,5,0,0,12,4,4,0,92,9
55193,64.5,6,2,21,1,6,1,0,0,496,1154,1622,4800,15,24,0,0,2,0,0,0,1,0,32,28,29,29,0,0,1,0,2,1,2,0,0,42,18,0,0,3,0,0,0,10,5
87500,120.0,9,3,34,12,33,8,0,0,123,9475,770,1500,2,3,6,3,1,1,2,0,0,0,42,43,40,47,9,1,4,2,18,8,3,1,0,22,6,0,0,13,6,5,3,94,61
