area,bank_1000,bank_500,bus_stop_1000,bus_stop_500,cafe_1000,cafe_500,cinema_1000,cinema_500,distance_to_bus_stop,distance_to_center,distance_to_school,distance_to_subway,floor,floors_total,government_1000,government_500,hospital_1000,hospital_500,hotel_1000,hotel_500,leisure_1000,leisure_500,mean_salaries_1000,mean_salaries_500,median_salaries_1000,median_salaries_500,nightlife_1000,nightlife_500,office_1000,office_500,point_of_interest_1000,point_of_interest_500,price_per_m,rooms,school_1000,school_500,shop_1000,shop_500,subway_station_1000,subway_station_500,tram_stop_1000,tram_stop_500,univercity_1000,univercity_500,vacancy_1000,vacancy_500,year
72.0,2,1,20,4,8,2,1,0,320,5256,586,533,2,10,0,0,2,0,1,0,1,0,44,35,32,33,1,0,1,0,1,0,70,2,1,0,37,10,1,0,6,0,0,0,33,4,2007
44.1,3,1,12,5,4,3,1,0,329,3939,965,722,18,27,4,1,1,0,2,0,0,0,31,36,30,40,1,1,3,0,2,0,57,1,1,0,31,2,1,0,4,1,0,0,24,5,0
109.0,6,3,60,15,17,2,0,0,194,8929,697,2335,5,11,3,0,3,0,2,0,1,0,38,33,33,32,1,1,9,1,11,5,136,3,2,0,22,12,0,0,12,3,1,0,83,29,2007
53.8,1,0,6,0,1,0,0,0,519,5103,2479,2430,3,10,0,0,0,0,0,0,0,0,45,47,45,47,0,0,0,0,0,0,43,2,0,0,4,1,0,0,2,0,0,0,11,8,1997
64.0,2,1,12,2,0,0,0,0,317,2695,556,4340,9,9,0,0,0,0,0,0,0,0,35,0,34,0,0,0,1,0,0,0,57,3,2,0,7,1,0,0,4,0,0,0,4,0,1989
44.0,5,0,16,6,7,0,0,0,262,4853,247,384,2,5,0,0,2,1,2,1,0,0,40,60,30,48,0,0,3,0,0,0,54,2,1,1,51,8,1,1,0,0,0,0,52,17,1962
60.0,2,1,10,1,0,0,0,0,412,2590,355,3591,9,9,0,0,0,0,0,0,0,0,29,35,25,34,0,0,1,0,0,0,44,3,1,1,8,0,0,0,6,1,0,0,10,4,1973
44.0,4,0,20,2,6,1,0,0,249,6336,264,901,3,5,1,0,1,0,1,0,1,0,36,37,35,35,1,0,0,0,2,1,56,2,1,1,60,16,2,0,10,2,1,0,49,6,1967
41.3,8,1,29,6,18,4,0,0,86,7203,1104,1366,7,12,4,0,2,1,1,1,2,0,34,39,30,31,4,4,11,2,6,0,43,1,0,0,49,16,0,0,12,2,1,0,79,13,1978
108.8,0,0,10,2,1,0,0,0,243,2345,1038,5235,10,16,0,0,1,1,0,0,0,0,42,0,42,0,0,0,0,0,2,1,50,3,0,0,8,2,0,0,4,2,0,0,2,0,2000
54.0,6,1,21,1,5,3,0,0,450,763,1535,4434,9,9,0,0,1,0,1,0,2,1,29,27,29,27,0,0,1,0,2,1,75,2,0,0,40,18,0,0,6,0,0,0,8,3,1986
43.7,2,1,12,0,3,1,0,0,685,4574,381,686,2,5,1,0,1,1,0,0,0,0,30,23,30,23,2,0,0,0,1,0,59,2,4,1,21,5,2,0,3,0,0,0,19,2,1960
34.5,1,0,7,0,2,1,0,0,594,2166,1760,5789,5,18,0,0,0,0,0,0,1,0,19,0,19,0,0,0,1,0,0,0,89,1,0,0,11,3,0,0,2,0,0,0,1,0,2014
55.6,1,0,19,0,5,0,1,0,527,6261,1479,1578,5,5,1,0,0,0,1,0,0,0,30,0,31,0,2,1,1,0,1,1,48,3,0,0,22,6,0,0,5,0,0,0,9,0,1965
70.8,3,1,15,6,4,0,0,0,106,1600,1458,5186,3,10,0,0,1,0,0,0,1,1,29,0,29,0,1,0,2,1,0,0,53,3,0,0,25,4,0,0,5,3,0,0,6,0,1989
45.0,8,3,37,8,30,10,0,0,128,7102,781,940,9,16,1,1,2,0,2,1,2,1,38,30,30,28,5,3,16,8,8,2,88,1,3,0,55,19,1,0,12,2,1,0,90,39,1999
22.0,6,2,23,2,5,0,0,0,392,1522,816,4277,5,9,1,0,1,0,0,0,0,0,36,0,30,0,0,0,0,0,0,0,70,1,3,0,19,5,0,0,3,0,0,0,5,0,1975
43.0,5,0,11,4,3,2,0,0,182,1584,403,2594,4,5,4,2,1,0,0,0,1,0,32,26,20,20,1,0,7,2,0,0,59,2,5,2,29,6,0,0,5,0,0,0,7,6,1967
21.5,10,2,26,7,3,0,2,0,265,939,1329,3817,7,9,0,0,1,0,1,1,1,1,24,0,24,0,1,1,0,0,3,0,81,1,0,0,33,9,0,0,9,3,0,0,2,0,1977
34.0,3,0,12,3,1,1,0,0,364,2146,1318,5269,8,12,0,0,2,0,0,0,2,0,36,0,30,0,0,0,0,0,2,1,66,1,0,0,17,5,0,0,4,1,0,0,5,0,1980
46.0,8,2,19,1,4,1,0,0,431,3726,716,641,3,5,1,0,2,0,0,0,0,0,33,36,34,40,3,1,2,2,5,3,44,2,1,0,36,14,2,0,6,1,0,0,18,6,1962
54.0,5,0,25,7,22,5,0,0,197,6182,576,364,2,12,6,1,5,2,1,0,1,0,34,29,30,23,2,1,9,2,12,2,65,2,1,0,33,10,2,1,5,2,0,0,89,16,1984
32.7,7,2,16,5,3,1,0,0,277,419,1471,3824,9,12,0,0,1,0,1,0,2,1,26,0,27,0,1,1,0,0,3,0,70,1,0,0,46,8,0,0,6,3,0,0,5,0,1976
90.0,3,1,14,6,8,6,0,0,67,4362,422,1474,24,24,3,0,3,1,2,1,5,2,45,43,32,48,3,2,3,1,6,2,133,2,2,1,22,13,0,0,6,3,0,0,25,3,2015
22.0,9,1,36,16,33,1,0,0,190,7498,552,1111,7,9,4,0,1,0,1,0,2,1,38,22,30,18,5,0,18,4,6,1,86,1,3,0,56,13,0,0,11,6,1,1,73,5,1978
80.5,5,1,22,7,2,0,1,0,83,2866,144,1365,1,2,5,1,1,0,1,0,0,0,34,39,40,40,0,0,6,1,0,0,52,3,2,1,25,3,0,0,6,0,0,0,12,3,1941
59.8,1,0,4,2,0,0,0,0,93,3181,908,4837,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,1,0,2,0,0,0,0,0,0,0,0,0,1975
33.0,8,5,12,4,2,1,0,0,224,3817,293,226,5,5,0,0,3,1,0,0,0,0,35,37,38,41,1,1,3,1,5,3,56,1,1,1,32,15,1,1,5,1,0,0,18,6,1963
83.7,4,2,20,5,2,0,0,0,184,2260,230,2296,5,10,2,2,1,1,1,0,0,0,27,0,22,0,0,0,7,4,0,0,66,2,3,3,25,14,0,0,8,3,0,0,8,0,2006
13.0,3,1,14,8,1,0,0,0,273,4135,1488,2688,1,5,1,0,0,0,0,0,0,0,48,34,50,34,0,0,1,0,1,0,68,1,0,0,7,2,0,0,6,4,0,0,9,1,0
119.0,6,3,62,12,30,20,0,0,278,10227,563,3446,2,5,8,1,2,0,3,2,0,0,40,44,37,50,6,3,5,2,18,5,74,3,3,0,20,6,0,0,21,6,3,0,32,6,1
31.0,8,3,19,5,4,2,0,0,399,1196,950,4421,1,9,0,0,2,0,0,0,0,0,33,36,30,30,0,0,0,0,3,1,54,1,1,0,33,4,0,0,0,0,0,0,7,5,1982
30.0,2,1,12,5,0,0,0,0,187,4053,1290,2964,5,5,1,1,0,0,0,0,0,0,51,34,55,34,0,0,1,0,1,1,47,1,0,0,6,1,0,0,5,4,0,0,4,1,1962
56.5,1,1,8,2,4,0,0,0,338,7898,1056,1991,4,13,4,1,1,0,0,0,0,0,31,66,18,66,1,0,1,1,0,0,60,2,0,0,16,5,0,0,5,2,0,0,9,2,0
59.0,4,1,29,12,4,0,1,1,139,3624,384,1409,5,5,1,0,0,0,2,0,0,0,44,43,36,42,0,0,4,0,3,0,41,3,1,1,31,3,0,0,9,4,0,0,58,4,1965
32.5,2,2,16,9,9,0,0,0,209,4120,567,1721,11,24,2,0,3,1,2,0,5,1,42,43,31,48,3,2,3,0,3,3,62,0,1,0,19,6,0,0,7,4,0,0,30,3,0
42.0,6,1,15,3,1,0,0,0,59,2908,769,794,9,10,2,0,1,0,1,1,0,0,38,44,33,36,0,0,4,1,1,0,66,1,2,0,28,6,1,0,4,0,0,0,28,14,1
49.0,8,0,39,13,20,5,0,0,335,8055,489,1752,2,3,4,3,1,0,1,0,2,0,32,18,25,18,2,0,8,2,4,0,71,2,3,1,34,5,0,0,13,1,1,1,29,1,1954
89.0,7,1,22,8,4,1,0,0,147,1239,1160,4627,4,9,0,0,1,1,1,0,4,0,29,0,29,0,1,0,2,0,0,0,70,3,0,0,29,2,0,0,6,4,0,0,4,0,2010
55.9,5,3,57,14,30,23,0,0,225,10317,491,3533,2,4,7,1,2,0,3,1,0,0,40,39,37,34,6,4,5,3,18,5,89,2,3,1,21,13,0,0,21,9,3,1,32,6,1
90.0,6,1,25,8,2,0,1,0,36,3190,613,1741,3,4,3,2,0,0,1,1,0,0,34,23,32,23,0,0,4,1,0,0,40,4,1,0,34,3,0,0,10,0,0,0,5,1,1955
59.9,5,0,14,2,1,1,0,0,111,4176,1826,1787,3,5,0,0,0,0,0,0,0,0,42,65,45,65,0,0,1,1,0,0,40,2,0,0,16,1,0,0,6,2,0,0,11,1,2007
54.0,8,0,35,9,36,6,0,0,139,7022,421,283,3,9,3,1,2,0,2,1,2,0,39,39,30,30,7,1,20,1,11,3,74,3,5,1,59,8,1,1,12,2,1,0,96,29,1968
92.0,4,1,21,5,2,0,1,0,376,3234,578,1916,22,24,0,0,0,0,1,1,0,0,37,36,35,32,1,0,0,0,5,0,59,3,1,0,14,3,0,0,6,0,1,0,42,23,1978
30.7,4,1,12,0,2,2,0,0,546,4049,1282,548,5,5,1,0,2,0,1,0,0,0,30,27,28,27,1,0,3,2,2,2,57,1,0,0,25,13,2,0,1,0,0,0,26,2,1960
40.0,2,0,11,2,0,0,0,0,262,2815,897,2873,1,10,0,0,0,0,1,0,0,0,30,50,26,50,0,0,2,0,1,1,55,1,3,0,24,3,0,0,7,2,0,0,11,1,2005
30.0,8,3,18,8,5,2,0,0,229,1066,464,3957,1,5,1,0,1,0,0,0,0,0,34,0,27,0,0,0,0,0,1,0,55,1,2,1,36,6,0,0,1,0,0,0,6,0,1970
67.3,0,0,14,3,18,3,0,0,480,6823,340,486,5,9,3,1,2,1,1,1,0,0,40,44,32,36,5,1,5,1,8,2,92,3,3,1,22,2,1,1,5,0,1,0,42,24,1970
20.0,0,0,17,8,2,1,0,0,114,12076,1054,5295,1,3,0,0,1,0,1,0,0,0,21,0,21,0,0,0,2,0,4,1,47,1,0,0,4,2,0,0,1,1,0,0,2,0,1878
40.0,6,3,11,3,2,0,0,0,34,3646,835,37,6,9,0,0,2,1,1,1,0,0,38,27,33,27,0,0,3,1,2,1,56,1,1,0,33,18,2,1,0,0,0,0,28,9,1956
54.0,7,1,27,7,7,1,0,0,89,1549,1824,5151,12,12,0,0,1,1,0,0,2,0,32,0,29,0,0,0,1,0,5,0,70,2,0,0,47,7,0,0,4,1,0,0,10,0,1988
44.0,5,2,21,6,5,1,0,0,342,1143,111,3422,1,5,1,1,1,0,0,0,1,0,26,0,20,0,1,0,3,0,0,0,48,2,2,2,30,12,0,0,3,0,0,0,6,0,1968
46.0,7,3,21,6,3,0,2,1,43,969,1096,3515,4,12,0,0,1,1,1,1,2,1,24,0,24,0,1,1,1,0,7,0,57,2,0,0,36,10,0,0,8,4,0,0,2,0,1970
50.0,5,2,17,5,3,1,0,0,69,795,1499,4120,3,9,0,0,1,0,1,1,2,1,29,0,29,0,1,0,0,0,1,0,62,2,0,0,27,4,0,0,8,1,0,0,2,0,1977
48.0,2,0,24,2,7,3,0,0,370,8423,654,2503,12,18,4,1,1,0,2,0,1,0,31,36,25,18,1,0,4,1,3,0,55,1,1,0,14,5,0,0,5,2,0,0,25,6,2016
58.0,5,2,12,6,1,1,0,0,293,3832,1571,1956,1,5,0,0,0,0,1,0,0,0,33,0,26,0,0,0,1,1,1,0,49,3,0,0,19,5,0,0,6,3,0,0,4,0,1968
62.6,5,2,11,5,1,0,0,0,251,3658,1335,1944,5,5,0,0,0,0,1,0,0,0,31,0,23,0,0,0,2,1,1,0,43,3,0,0,21,9,0,0,5,3,0,0,5,0,1977
85.0,0,0,11,0,9,3,0,0,563,6680,331,563,1,16,3,0,2,1,1,0,0,0,44,41,35,42,4,1,3,1,6,2,92,3,2,1,19,2,1,0,4,0,1,0,34,14,1977
45.0,5,2,22,3,5,2,0,0,192,1234,1800,4893,5,9,0,0,1,0,0,0,2,0,28,29,29,29,0,0,1,1,2,0,64,2,0,0,36,7,0,0,6,1,0,0,5,4,1986
100.0,10,5,40,12,33,9,0,0,312,7912,186,1161,3,9,3,0,0,0,1,0,1,1,39,56,28,25,5,0,13,7,5,0,73,2,5,3,43,16,0,0,12,6,2,0,44,11,2015
60.0,6,1,20,4,5,1,0,0,83,1837,1555,5157,7,9,0,0,1,1,0,0,2,0,36,42,30,42,0,0,0,0,2,1,59,3,0,0,25,9,0,0,3,0,0,0,5,2,1979
22.0,5,0,29,9,22,6,0,0,222,6287,654,448,8,9,6,1,5,1,2,0,1,0,34,30,28,21,4,1,12,4,10,5,88,1,1,0,46,10,2,1,5,2,0,0,95,13,1975
30.0,0,0,9,3,0,0,0,0,134,5274,23,832,8,9,2,0,1,0,0,0,0,0,22,20,22,18,1,0,0,0,2,1,55,2,2,2,7,0,1,0,5,2,0,0,9,5,1991
46.0,9,2,21,4,3,0,0,0,280,296,1024,3381,1,5,1,0,1,0,1,0,3,0,24,0,24,0,2,0,1,0,3,2,54,2,0,0,45,14,0,0,7,2,0,0,2,0,1967
60.8,5,1,10,6,2,0,0,0,216,4615,752,322,3,5,1,1,2,0,0,0,0,0,34,24,36,25,1,0,1,0,5,2,62,4,3,0,21,3,1,1,4,2,0,0,14,5,1978
23.0,2,1,10,4,0,0,0,0,207,2243,202,1518,2,5,2,0,0,0,0,0,0,0,46,0,42,0,0,0,0,0,0,0,56,1,1,1,12,0,0,0,7,4,0,0,16,0,1972
32.0,5,2,13,1,10,1,0,0,270,4791,348,1122,5,5,2,2,2,2,4,1,3,1,41,0,32,0,2,1,5,1,4,2,67,1,3,1,52,16,0,0,4,0,0,0,43,0,1962
77.0,4,0,19,4,10,2,0,0,404,5131,772,726,3,9,5,3,3,0,4,1,4,2,37,48,28,35,2,0,4,2,5,2,58,3,2,0,40,7,1,0,5,0,0,0,45,19,1986
62.0,7,2,17,2,3,0,0,0,313,1505,1221,4714,4,9,0,0,2,0,0,0,1,0,34,36,27,30,0,0,0,0,2,0,56,3,0,0,38,2,0,0,2,0,0,0,6,5,1971
44.3,3,1,12,5,4,3,1,0,329,3939,965,722,4,27,4,1,1,0,2,0,0,0,31,36,30,40,1,1,3,0,2,0,43,1,1,0,31,2,1,0,4,1,0,0,24,5,0
87.0,3,0,45,11,23,6,0,0,159,10398,572,3737,3,9,4,0,1,1,2,1,0,0,34,28,27,30,4,2,3,0,6,2,67,2,2,0,14,3,0,0,14,3,1,0,14,4,2004
34.0,3,1,15,3,1,0,0,0,290,4008,1531,2453,9,9,1,0,0,0,0,0,0,0,48,34,50,34,0,0,1,1,2,0,58,1,0,0,7,3,0,0,7,1,0,0,9,1,1972
127.0,9,1,53,16,20,0,0,0,113,9269,859,2576,1,3,3,3,3,1,3,0,0,0,41,46,40,37,4,0,9,0,15,6,36,3,1,0,23,10,0,0,14,4,1,0,130,16,1917
125.0,4,2,19,4,2,0,0,0,154,2347,350,2361,2,10,2,0,1,1,1,0,0,0,30,0,24,0,0,0,7,4,1,0,52,3,3,3,27,14,0,0,8,4,0,0,9,0,2007
44.3,2,1,17,4,6,1,1,0,380,3720,673,1050,8,18,2,0,1,0,1,1,1,0,31,34,30,32,2,1,0,0,0,0,67,1,2,0,31,4,0,0,7,2,0,0,34,15,2010
72.0,5,3,16,4,4,2,1,0,251,3611,862,488,4,4,4,0,1,1,1,1,0,0,39,31,35,31,1,0,4,1,2,2,49,3,1,0,35,12,1,1,2,0,0,0,27,10,1954
42.2,2,1,11,4,1,0,0,0,256,2288,150,1496,1,3,2,0,0,0,0,0,0,0,46,0,42,0,0,0,1,0,0,0,50,2,1,1,13,0,0,0,6,4,0,0,16,0,1962
33.0,1,0,21,5,5,0,1,0,390,6252,1539,1541,9,10,1,0,0,0,1,0,0,0,30,0,28,0,2,1,1,0,1,1,78,1,0,0,23,8,0,0,5,0,0,0,10,0,1966
70.0,8,3,27,6,17,12,0,0,158,7031,1188,1223,1,9,1,0,2,1,2,1,1,0,33,38,30,31,4,4,10,4,7,0,55,3,0,0,50,18,0,0,12,2,0,0,85,17,1976
44.0,4,0,11,4,3,2,0,0,111,1700,302,2523,4,5,4,2,1,1,0,0,0,0,26,26,20,20,1,0,7,4,0,0,61,2,4,3,30,9,0,0,5,0,0,0,6,6,1967
49.0,0,0,5,2,1,0,0,0,261,6318,1071,1289,1,3,0,0,0,0,1,0,0,0,25,0,24,0,0,0,0,0,0,0,40,1,0,0,1,0,0,0,5,2,1,0,7,0,1972
366.0,4,0,14,4,3,2,0,0,255,1782,191,2613,4,9,3,2,1,1,0,0,0,0,26,26,20,20,1,0,8,5,0,0,5,1,4,2,30,9,0,0,8,0,0,0,6,6,1980
23.0,4,1,14,3,6,0,0,0,221,1025,595,2949,5,5,4,0,0,0,0,0,1,1,26,12,20,12,1,1,3,0,2,0,50,2,4,0,33,11,0,0,1,0,0,0,6,1,1971
29.0,6,2,14,4,2,1,2,1,66,1526,475,3044,5,9,1,0,1,1,0,0,1,1,20,0,17,0,2,0,1,1,5,3,72,1,2,2,21,4,0,0,4,0,0,0,6,0,1968
68.0,5,2,21,6,3,2,0,0,357,1892,406,4387,5,12,0,0,1,0,0,0,1,1,36,0,40,0,2,0,3,0,1,0,65,2,1,1,44,10,0,0,7,2,0,0,13,0,1987
62.6,4,1,20,0,2,0,0,0,587,1657,800,4473,1,5,1,0,1,0,0,0,0,0,36,0,30,0,0,0,0,0,2,0,48,3,1,0,16,3,0,0,4,0,0,0,5,0,1970
59.8,8,4,20,8,5,2,0,0,116,1022,228,3721,9,9,1,0,1,0,0,0,0,0,38,0,38,0,0,0,0,0,0,0,57,3,2,1,30,13,0,0,1,0,0,0,2,0,1974
85.0,2,0,11,4,2,0,0,0,256,2430,492,2718,9,10,2,0,1,0,1,0,0,0,31,0,28,0,0,0,7,2,1,0,62,4,3,1,25,7,0,0,8,4,0,0,12,0,1992
44.0,2,1,12,4,0,0,0,0,77,3890,1142,2988,3,5,1,1,0,0,0,0,0,0,39,34,34,34,0,0,1,0,2,1,63,2,0,0,8,2,0,0,5,3,0,0,3,1,1960
17.0,6,1,17,5,4,2,0,0,283,3478,880,966,3,5,1,0,2,1,0,0,1,0,34,37,32,40,3,0,2,1,4,0,55,1,1,0,31,13,1,0,5,0,0,0,25,4,1973
108.2,5,4,52,20,13,6,0,0,185,8976,583,2463,4,12,3,0,3,1,2,1,1,0,37,38,32,34,1,1,7,3,11,8,73,3,1,0,20,11,0,0,8,5,0,0,71,41,2001
30.0,5,1,19,4,2,0,1,1,246,3400,697,1562,1,2,4,2,0,0,1,1,0,0,34,23,32,23,0,0,2,1,0,0,46,1,1,0,30,12,0,0,6,1,0,0,5,1,0
100.0,1,0,33,9,6,1,0,0,271,11680,653,4894,4,6,3,0,0,0,1,0,0,0,24,21,25,21,1,0,3,1,6,2,87,4,3,0,13,4,0,0,9,1,1,0,9,2,1917
43.1,4,2,48,23,27,13,0,0,26,10824,64,4050,2,4,4,3,0,0,4,1,0,0,31,35,25,26,4,1,5,2,13,4,51,2,3,3,21,11,0,0,16,9,1,1,17,8,1917
72.0,5,1,39,20,12,7,0,0,236,8626,203,2422,1,2,4,0,1,1,2,2,1,1,35,28,31,23,1,1,6,3,7,2,38,3,1,1,21,5,0,0,6,3,0,0,56,21,1950
43.5,5,0,16,2,3,1,0,0,384,895,933,2825,2,9,3,0,0,0,0,0,1,1,34,0,30,0,1,1,2,0,2,2,58,2,1,0,33,8,0,0,3,0,0,0,5,0,1969
60.0,6,1,18,4,5,1,0,0,86,1848,1482,5128,7,9,0,0,1,0,0,0,2,0,36,42,30,42,0,0,0,0,2,1,56,3,0,0,24,5,0,0,3,0,0,0,5,2,1979
57.5,7,5,30,8,17,15,0,0,89,6791,1141,1055,9,12,1,1,2,2,2,1,1,1,34,35,30,30,4,3,11,6,7,1,64,2,0,0,56,25,0,0,13,3,0,0,87,53,1979
31.0,9,1,18,4,7,2,0,0,386,356,856,3866,9,9,0,0,1,1,0,0,2,0,29,0,28,0,0,0,0,0,4,1,62,1,1,0,57,9,0,0,3,0,0,0,6,0,1979
